ファイル名,学年,単元名,項目名,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,識別力の推定誤差_300尺度,識別力の推定誤差_theta換算,学習前提単元名,学習前提項目名
m-jh1-A-01-10s-02.txt,中学1年,乗法と除法,乗法の交換法則・結合法則,32.0,0.640,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
m-jh1-A-01-11b-01.txt,中学1年,乗法と除法,累乗,13.6,0.272,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法,正と負の数の乗法；乗法の交換法則・結合法則
m-jh1-A-01-11b-02.txt,中学1年,乗法と除法,累乗,16.6,0.332,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法,正と負の数の乗法；乗法の交換法則・結合法則
m-jh1-A-01-11s-01.txt,中学1年,乗法と除法,累乗,30.2,0.604,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法,正と負の数の乗法；乗法の交換法則・結合法則
m-jh1-A-01-11s-02.txt,中学1年,乗法と除法,累乗,33.2,0.664,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法,正と負の数の乗法；乗法の交換法則・結合法則
m-jh1-A-01-12b-01.txt,中学1年,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,14.7,0.294,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-12b-02.txt,中学1年,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,17.7,0.354,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-12s-01.txt,中学1年,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,31.3,0.626,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
m-jh1-A-01-12s-02.txt,中学1年,乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法,34.3,0.686,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
m-jh1-A-01-13b-01.txt,中学1年,乗法と除法,逆数,15.9,0.318,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-13b-02.txt,中学1年,乗法と除法,逆数,18.9,0.378,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法,正と負の数の乗法
m-jh1-A-01-13s-01.txt,中学1年,乗法と除法,逆数,32.4,0.648,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
m-jh1-A-01-13s-02.txt,中学1年,乗法と除法,逆数,35.4,0.708,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法,正と負の数の乗法
m-jh1-A-01-14b-01.txt,中学1年,乗法と除法,逆数を使った除法,17.0,0.340,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法；逆数
m-jh1-A-01-14b-02.txt,中学1年,乗法と除法,逆数を使った除法,20.0,0.400,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法；逆数
m-jh1-A-01-14s-01.txt,中学1年,乗法と除法,逆数を使った除法,33.6,0.672,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法；逆数
m-jh1-A-01-14s-02.txt,中学1年,乗法と除法,逆数を使った除法,36.6,0.732,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；乗法と除法,正と負の数の符号が同じ数の除法、符号が異なる数の除法；逆数
m-jh1-A-01-15b-01.txt,中学1年,いろいろな計算,四則混合計算,18.1,0.362,0.0140,0.700,18.0,0.360,0.0038,0.190,加法と減法；乗法と除法；乗法と除法,加法と減法の混合；乗法の交換法則・結合法則；正と負の数の符号が同じ数の除法、符号が異なる数の除法
m-jh1-A-01-15b-02.txt,中学1年,いろいろな計算,四則混合計算,21.1,0.422,0.0144,0.720,18.0,0.360,0.0038,0.190,加法と減法；乗法と除法；乗法と除法,加法と減法の混合；乗法の交換法則・結合法則；正と負の数の符号が同じ数の除法、符号が異なる数の除法
m-jh1-A-01-15s-01.txt,中学1年,いろいろな計算,四則混合計算,34.7,0.694,0.0158,0.790,20.0,0.400,0.0042,0.210,加法と減法；乗法と除法；乗法と除法,加法と減法の混合；乗法の交換法則・結合法則；正と負の数の符号が同じ数の除法、符号が異なる数の除法
m-jh1-A-01-15s-02.txt,中学1年,いろいろな計算,四則混合計算,37.7,0.754,0.0162,0.810,20.0,0.400,0.0042,0.210,加法と減法；乗法と除法；乗法と除法,加法と減法の混合；乗法の交換法則・結合法則；正と負の数の符号が同じ数の除法、符号が異なる数の除法
m-jh1-A-01-16b-01.txt,中学1年,いろいろな計算,累乗が含まれる計算,19.3,0.386,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；いろいろな計算,累乗；四則混合計算
m-jh1-A-01-16b-02.txt,中学1年,いろいろな計算,累乗が含まれる計算,22.3,0.446,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；いろいろな計算,累乗；四則混合計算
m-jh1-A-01-16s-01.txt,中学1年,いろいろな計算,累乗が含まれる計算,35.8,0.716,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；いろいろな計算,累乗；四則混合計算
m-jh1-A-01-16s-02.txt,中学1年,いろいろな計算,累乗が含まれる計算,38.8,0.776,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；いろいろな計算,累乗；四則混合計算
m-jh1-A-01-17b-01.txt,中学1年,いろいろな計算,分配法則を利用した計算,20.4,0.408,0.0140,0.700,18.0,0.360,0.0038,0.190,乗法と除法；いろいろな計算,乗法の交換法則・結合法則；四則混合計算
m-jh1-A-01-17b-02.txt,中学1年,いろいろな計算,分配法則を利用した計算,23.4,0.468,0.0144,0.720,18.0,0.360,0.0038,0.190,乗法と除法；いろいろな計算,乗法の交換法則・結合法則；四則混合計算
m-jh1-A-01-17s-01.txt,中学1年,いろいろな計算,分配法則を利用した計算,37.0,0.740,0.0158,0.790,20.0,0.400,0.0042,0.210,乗法と除法；いろいろな計算,乗法の交換法則・結合法則；四則混合計算
m-jh1-A-01-17s-02.txt,中学1年,いろいろな計算,分配法則を利用した計算,40.0,0.800,0.0162,0.810,20.0,0.400,0.0042,0.210,乗法と除法；いろいろな計算,乗法の交換法則・結合法則；四則混合計算
m-jh1-A-01-18b-01.txt,中学1年,いろいろな計算,数の集合（数＞整数＞自然数）,21.5,0.430,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-18b-02.txt,中学1年,いろいろな計算,数の集合（数＞整数＞自然数）,24.5,0.490,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-01-19b-01.txt,中学1年,いろいろな計算,正の数・負の数の利用（表問題）,22.1,0.442,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数；加法と減法,正の数と負の数を量で表す；加法と減法の混合
m-jh1-A-01-19b-02.txt,中学1年,いろいろな計算,正の数・負の数の利用（表問題）,25.1,0.502,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数；加法と減法,正の数と負の数を量で表す；加法と減法の混合
m-jh1-A-01-19s-01.txt,中学1年,いろいろな計算,正の数・負の数の利用（表問題）,38.7,0.774,0.0158,0.790,20.0,0.400,0.0042,0.210,正と負の数；加法と減法,正の数と負の数を量で表す；加法と減法の混合
m-jh1-A-01-19s-02.txt,中学1年,いろいろな計算,正の数・負の数の利用（表問題）,41.7,0.834,0.0162,0.810,20.0,0.400,0.0042,0.210,正と負の数；加法と減法,正の数と負の数を量で表す；加法と減法の混合
m-jh1-A-01-20b-01.txt,中学1年,いろいろな計算,素数と素因数分解,23.2,0.464,0.0140,0.700,18.0,0.360,0.0038,0.190,いろいろな計算,数の集合（数＞整数＞自然数）
m-jh1-A-01-20b-02.txt,中学1年,いろいろな計算,素数と素因数分解,26.2,0.524,0.0144,0.720,18.0,0.360,0.0038,0.190,いろいろな計算,数の集合（数＞整数＞自然数）
m-jh1-A-01-20s-01.txt,中学1年,いろいろな計算,素数と素因数分解,39.8,0.796,0.0158,0.790,20.0,0.400,0.0042,0.210,いろいろな計算,数の集合（数＞整数＞自然数）
m-jh1-A-01-20s-02.txt,中学1年,いろいろな計算,素数と素因数分解,42.8,0.856,0.0162,0.810,20.0,0.400,0.0042,0.210,いろいろな計算,数の集合（数＞整数＞自然数）
m-jh1-A-01-21b-01.txt,中学1年,いろいろな計算,素因数分解の利用,24.3,0.486,0.0140,0.700,18.0,0.360,0.0038,0.190,いろいろな計算,素数と素因数分解
m-jh1-A-01-21b-02.txt,中学1年,いろいろな計算,素因数分解の利用,27.3,0.546,0.0144,0.720,18.0,0.360,0.0038,0.190,いろいろな計算,素数と素因数分解
m-jh1-A-01-21s-01.txt,中学1年,いろいろな計算,素因数分解の利用,40.9,0.818,0.0158,0.790,20.0,0.400,0.0042,0.210,いろいろな計算,素数と素因数分解
m-jh1-A-01-21s-02.txt,中学1年,いろいろな計算,素因数分解の利用,43.9,0.878,0.0162,0.810,20.0,0.400,0.0042,0.210,いろいろな計算,素数と素因数分解
m-jh1-A-02-01b-01.txt,中学1年,文字と式,文字を使った式,25.5,0.510,0.0140,0.700,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-02-01b-02.txt,中学1年,文字と式,文字を使った式,28.5,0.570,0.0144,0.720,18.0,0.360,0.0038,0.190,正と負の数,正と負
m-jh1-A-02-01s-01.txt,中学1年,文字と式,文字を使った式,42.0,0.840,0.0158,0.790,20.0,0.400,0.0042,0.210,正と負の数,正と負
m-jh1-A-02-01s-02.txt,中学1年,文字と式,文字を使った式,45.0,0.900,0.0162,0.810,20.0,0.400,0.0042,0.210,正と負の数,正と負
m-jh1-A-02-02b-01.txt,中学1年,文字と式,文字式の表し方,26.6,0.532,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；乗法と除法,文字を使った式；正と負の数の乗法
m-jh1-A-02-02b-02.txt,中学1年,文字と式,文字式の表し方,29.6,0.592,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；乗法と除法,文字を使った式；正と負の数の乗法
m-jh1-A-02-02s-01.txt,中学1年,文字と式,文字式の表し方,43.2,0.864,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；乗法と除法,文字を使った式；正と負の数の乗法
m-jh1-A-02-02s-02.txt,中学1年,文字と式,文字式の表し方,46.2,0.924,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；乗法と除法,文字を使った式；正と負の数の乗法
m-jh1-A-02-03b-01.txt,中学1年,文字と式,いろいろな数量と文字式,27.7,0.554,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；文字と式,文字を使った式；文字式の表し方
m-jh1-A-02-03b-02.txt,中学1年,文字と式,いろいろな数量と文字式,30.7,0.614,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；文字と式,文字を使った式；文字式の表し方
m-jh1-A-02-03s-01.txt,中学1年,文字と式,いろいろな数量と文字式,44.3,0.886,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；文字と式,文字を使った式；文字式の表し方
m-jh1-A-02-03s-02.txt,中学1年,文字と式,いろいろな数量と文字式,47.3,0.946,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；文字と式,文字を使った式；文字式の表し方
m-jh1-A-02-04b-01.txt,中学1年,文字と式,式の値（代入）,28.9,0.578,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；いろいろな計算,文字式の表し方；四則混合計算
m-jh1-A-02-04b-02.txt,中学1年,文字と式,式の値（代入）,31.9,0.638,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；いろいろな計算,文字式の表し方；四則混合計算
m-jh1-A-02-04s-01.txt,中学1年,文字と式,式の値（代入）,45.4,0.908,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；いろいろな計算,文字式の表し方；四則混合計算
m-jh1-A-02-04s-02.txt,中学1年,文字と式,式の値（代入）,48.4,0.968,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；いろいろな計算,文字式の表し方；四則混合計算
m-jh1-A-02-05b-01.txt,中学1年,文字と式,項と係数の関係,30.0,0.600,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式,文字式の表し方
m-jh1-A-02-05b-02.txt,中学1年,文字と式,項と係数の関係,33.0,0.660,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式,文字式の表し方
m-jh1-A-02-05s-01.txt,中学1年,文字と式,項と係数の関係,46.6,0.932,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式,文字式の表し方
m-jh1-A-02-05s-02.txt,中学1年,文字と式,項と係数の関係,49.6,0.992,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式,文字式の表し方
m-jh1-A-02-06b-01.txt,中学1年,文字と式,式のまとめ方,31.1,0.622,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；加法と減法,項と係数の関係；加法と減法の混合
m-jh1-A-02-06b-02.txt,中学1年,文字と式,式のまとめ方,34.1,0.682,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；加法と減法,項と係数の関係；加法と減法の混合
m-jh1-A-02-06s-01.txt,中学1年,文字と式,文字式の加法と減法,47.7,0.954,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；加法と減法,項と係数の関係；加法と減法の混合
m-jh1-A-02-06s-02.txt,中学1年,文字と式,文字式の加法と減法,50.7,1.014,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；加法と減法,項と係数の関係；加法と減法の混合
m-jh1-A-02-07b-01.txt,中学1年,文字と式,1次式の乗法（項が1つ・項が複数・分数）,32.3,0.646,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；いろいろな計算,文字式の表し方；分配法則を利用した計算
m-jh1-A-02-07b-02.txt,中学1年,文字と式,1次式の乗法（項が1つ・項が複数・分数）,35.3,0.706,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；いろいろな計算,文字式の表し方；分配法則を利用した計算
m-jh1-A-02-07s-01.txt,中学1年,文字と式,1次式の乗法（項が1つ・項が複数・分数）,48.8,0.976,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；いろいろな計算,文字式の表し方；分配法則を利用した計算
m-jh1-A-02-07s-02.txt,中学1年,文字と式,1次式の乗法（項が1つ・項が複数・分数）,51.8,1.036,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；いろいろな計算,文字式の表し方；分配法則を利用した計算
m-jh1-A-02-08b-01.txt,中学1年,文字と式,1次式の除法（項が1つ・項が複数）,33.4,0.668,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；乗法と除法,1次式の乗法（項が1つ・項が複数・分数）；逆数を使った除法
m-jh1-A-02-08b-02.txt,中学1年,文字と式,1次式の除法（項が1つ・項が複数）,36.4,0.728,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；乗法と除法,1次式の乗法（項が1つ・項が複数・分数）；逆数を使った除法
m-jh1-A-02-08s-01.txt,中学1年,文字と式,1次式の除法（項が1つ・項が複数）,50.0,1.000,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；乗法と除法,1次式の乗法（項が1つ・項が複数・分数）；逆数を使った除法
m-jh1-A-02-08s-02.txt,中学1年,文字と式,1次式の除法（項が1つ・項が複数）,53.0,1.060,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；乗法と除法,1次式の乗法（項が1つ・項が複数・分数）；逆数を使った除法
m-jh1-A-02-09b-01.txt,中学1年,文字と式,1次式の計算（分配法則）,34.5,0.690,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；文字と式；いろいろな計算,文字式の加法と減法；1次式の乗法（項が1つ・項が複数・分数）；分配法則を利用した計算
m-jh1-A-02-09b-02.txt,中学1年,文字と式,1次式の計算（分配法則）,37.5,0.750,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；文字と式；いろいろな計算,文字式の加法と減法；1次式の乗法（項が1つ・項が複数・分数）；分配法則を利用した計算
m-jh1-A-02-09s-01.txt,中学1年,文字と式,1次式の計算（分配法則）,51.1,1.022,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；文字と式；いろいろな計算,文字式の加法と減法；1次式の乗法（項が1つ・項が複数・分数）；分配法則を利用した計算
m-jh1-A-02-09s-02.txt,中学1年,文字と式,1次式の計算（分配法則）,54.1,1.082,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；文字と式；いろいろな計算,文字式の加法と減法；1次式の乗法（項が1つ・項が複数・分数）；分配法則を利用した計算
m-jh1-A-02-10b-01.txt,中学1年,文字と式,文字式の利用（等式）,35.7,0.714,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；文字と式,いろいろな数量と文字式；1次式の計算（分配法則）
m-jh1-A-02-10b-02.txt,中学1年,文字と式,文字式の利用（等式）,38.7,0.774,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；文字と式,いろいろな数量と文字式；1次式の計算（分配法則）
m-jh1-A-03-01bｰ01.txt,中学1年,１次方程式,方程式とその解（代入）①,37.9,0.758,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；文字と式,式の値（代入）；文字式の利用（等式）
m-jh1-A-03-01bｰ02.txt,中学1年,１次方程式,方程式とその解（代入）①,40.9,0.818,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；文字と式,式の値（代入）；文字式の利用（等式）
m-jh2-A-01-02bｰ01.txt,中学2年,多項式の計算,項の次数,106.0,2.120,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の表し方；多項式と項
m-jh2-A-01-02bｰ02.txt,中学2年,多項式の計算,項の次数,109.0,2.180,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の表し方；多項式と項
m-jh2-A-01-02bｰ03.txt,中学2年,多項式の計算,項の次数,106.0,2.120,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の表し方；多項式と項
m-jh2-A-01-02bｰ04.txt,中学2年,多項式の計算,項の次数,109.0,2.180,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の表し方；多項式と項
m-jh2-A-01-03bｰ01.txt,中学2年,多項式の計算,式の次数,107.0,2.140,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算,項の次数
m-jh2-A-01-03bｰ02.txt,中学2年,多項式の計算,式の次数,110.0,2.200,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算,項の次数
m-jh2-A-01-03bｰ03.txt,中学2年,多項式の計算,式の次数,107.0,2.140,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算,項の次数
m-jh2-A-01-03bｰ04.txt,中学2年,多項式の計算,式の次数,110.0,2.200,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算,項の次数
m-jh2-A-01-04bｰ01.txt,中学2年,多項式の計算,同類項,108.0,2.160,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算,多項式と項
m-jh2-A-01-04bｰ02.txt,中学2年,多項式の計算,同類項,111.0,2.220,0.0144,0.720,18.0,0.360,0.0038,0.190,多項式の計算,多項式と項
m-jh2-A-01-04bｰ03.txt,中学2年,多項式の計算,同類項,114.0,2.280,0.0148,0.740,18.0,0.360,0.0038,0.190,多項式の計算,多項式と項
m-jh2-A-01-04bｰ04.txt,中学2年,多項式の計算,同類項,108.0,2.160,0.0140,0.700,18.0,0.360,0.0038,0.190,多項式の計算,多項式と項
m-jh2-A-01-04sｰ01.txt,中学2年,多項式の計算,同類項,124.9,2.498,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算,多項式と項
m-jh2-A-01-04sｰ02.txt,中学2年,多項式の計算,同類項,127.9,2.558,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算,多項式と項
m-jh2-A-01-04sｰ03.txt,中学2年,多項式の計算,同類項,124.9,2.498,0.0158,0.790,20.0,0.400,0.0042,0.210,多項式の計算,多項式と項
m-jh2-A-01-04sｰ04.txt,中学2年,多項式の計算,同類項,127.9,2.558,0.0162,0.810,20.0,0.400,0.0042,0.210,多項式の計算,多項式と項
m-jh2-A-01-05bｰ01.txt,中学2年,多項式の計算,多項式の加法と減法,109.9,2.198,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05bｰ02.txt,中学2年,多項式の計算,多項式の加法と減法,112.9,2.258,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05bｰ03.txt,中学2年,多項式の計算,多項式の加法と減法,109.9,2.198,0.0140,0.700,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05bｰ04.txt,中学2年,多項式の計算,多項式の加法と減法,112.9,2.258,0.0144,0.720,18.0,0.360,0.0038,0.190,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05sｰ01.txt,中学2年,多項式の計算,多項式の加法と減法,126.9,2.538,0.0158,0.790,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の加法と減法；同類項
m-jh2-A-01-05sｰ02.txt,中学2年,多項式の計算,多項式の加法と減法,129.9,2.598,0.0162,0.810,20.0,0.400,0.0042,0.210,文字と式；多項式の計算,文字式の加法と減法；同類項
