ステップ見出しタイトル 一意一覧（意味グループ順）
抽出対象: Math_Prompt直下の m-*.txt（Math_Question内の生成問題は除外）
一意タイトル数: 1576
形式: グループ	タイトル	出現数	例
01 考え方・公式・性質を確認する	乗法の公式の形を確認する	16	m-jh3-A-01-05b.txt:69, m-jh3-A-01-05b.txt:105, m-jh3-A-01-05s.txt:70, m-jh3-A-01-05s.txt:110, m-jh3-A-01-06b.txt:69
01 考え方・公式・性質を確認する	乗法の公式を使う	4	m-jh3-A-01-10b.txt:75, m-jh3-A-03-01b.txt:76, m-jh3-A-03-01b.txt:110, m-jh3-A-03-01b.txt:144
01 考え方・公式・性質を確認する	乗法の公式を利用して展開する	1	m-jh3-A-01-09s.txt:72
01 考え方・公式・性質を確認する	乗法の公式を利用する	4	m-jh3-A-01-08b.txt:79, m-jh3-A-01-08b.txt:115, m-jh3-A-01-08s.txt:80, m-jh3-A-01-08s.txt:120
01 考え方・公式・性質を確認する	乗法の公式を利用する※	1	m-jh3-A-01-09s.txt:117
01 考え方・公式・性質を確認する	乗法公式などが使えるように変形する	1	m-jh3-A-03-01s.txt:81
01 考え方・公式・性質を確認する	乗法公式を使う	1	m-jh3-A-01-10b.txt:128
01 考え方・公式・性質を確認する	乗法公式を使って因数分解する	2	m-jh3-A-05-03b.txt:114, m-jh3-A-05-03b.txt:211
01 考え方・公式・性質を確認する	乗法公式を使って変形する $x^2 - a^2 = (x + a)(x - a) $	1	m-jh3-A-03-02s.txt:93
01 考え方・公式・性質を確認する	交点の意味を確認する	1	m-jh2-B-01-14b.txt:206
01 考え方・公式・性質を確認する	使う乗法の公式を確認する	8	m-jh3-A-04-15b.txt:73, m-jh3-A-04-15b.txt:122, m-jh3-A-04-15b.txt:171, m-jh3-A-04-15b.txt:220, m-jh3-A-04-15s.txt:74
01 考え方・公式・性質を確認する	使う乗法公式を確認する	2	m-jh3-A-05-03b.txt:84, m-jh3-A-05-03b.txt:184
01 考え方・公式・性質を確認する	使う公式を確認する	4	m-jh3-A-01-07s.txt:72, m-jh3-A-01-07s.txt:131, m-jh3-A-02-03b.txt:77, m-jh3-A-02-03b.txt:120
01 考え方・公式・性質を確認する	使える乗法公式を確認する	1	m-jh3-A-05-03s.txt:114
01 考え方・公式・性質を確認する	公式が使える形に見る	3	m-jh3-A-03-01b.txt:70, m-jh3-A-03-01b.txt:104, m-jh3-A-03-01b.txt:138
01 考え方・公式・性質を確認する	公式にあてはめて因数分解する	5	m-jh3-A-02-03b.txt:93, m-jh3-A-02-03b.txt:136, m-jh3-A-02-04b.txt:86, m-jh3-A-02-04b.txt:123, m-jh3-A-02-06s.txt:84
01 考え方・公式・性質を確認する	公式にあてはめる	15	m-jh3-A-01-07s.txt:79, m-jh3-A-01-07s.txt:108, m-jh3-A-01-07s.txt:138, m-jh3-A-01-09b.txt:83, m-jh3-A-01-09b.txt:120
01 考え方・公式・性質を確認する	公式に代入する	5	m-jh1-C-02-15b.txt:103, m-jh1-C-02-15b.txt:150, m-jh1-C-02-16b.txt:103, m-jh1-C-02-16b.txt:150, m-jh3-A-05-06b.txt:90
01 考え方・公式・性質を確認する	公式に当てはまるか確認する	1	m-jh3-A-05-03b.txt:197
01 考え方・公式・性質を確認する	公式の形に書き直す	6	m-jh3-A-02-03b.txt:85, m-jh3-A-02-03b.txt:128, m-jh3-A-02-03s.txt:90, m-jh3-A-02-03s.txt:141, m-jh3-A-02-04b.txt:78
01 考え方・公式・性質を確認する	公式を使って変形する	1	m-jh3-A-03-02b.txt:94
01 考え方・公式・性質を確認する	公式を利用して因数分解する	2	m-jh3-A-02-05s.txt:89, m-jh3-A-02-05s.txt:130
01 考え方・公式・性質を確認する	公式を確認する	2	m-jh1-C-02-15b.txt:181, m-jh1-C-02-16b.txt:181
01 考え方・公式・性質を確認する	円の面積の公式は $y=\pi r^2$ で、ここで半径 $r=x$ なので	1	m-jh1-B-01-01b.txt:128
01 考え方・公式・性質を確認する	円の面積の公式を確認する	1	m-jh2-A-02-02b.txt:65
01 考え方・公式・性質を確認する	円周角の定理の逆を使う	1	m-jh3-C-02-04b.txt:122
01 考え方・公式・性質を確認する	分母を有理化する考え方を確認する	2	m-jh3-A-04-09s.txt:71, m-jh3-A-04-09s.txt:108
01 考え方・公式・性質を確認する	分配法則の形を確認する	6	m-jh1-A-02-07b.txt:137, m-jh1-A-02-07b.txt:167, m-jh1-A-02-07s.txt:70, m-jh1-A-02-07s.txt:108, m-jh1-A-02-09s.txt:70
01 考え方・公式・性質を確認する	半直線の意味を確認する	1	m-jh1-C-01-01b.txt:117
01 考え方・公式・性質を確認する	反対の意味は負の符号で表す	1	m-jh1-A-01-01s.txt:179
01 考え方・公式・性質を確認する	合同になる条件を確認する	1	m-jh2-C-02-01b.txt:159
01 考え方・公式・性質を確認する	合同条件を確認する	1	m-jh2-C-02-04b.txt:154
01 考え方・公式・性質を確認する	和と積の条件を確認する	4	m-jh3-A-02-02b.txt:79, m-jh3-A-02-02b.txt:144, m-jh3-A-02-02s.txt:79, m-jh3-A-02-02s.txt:127
01 考え方・公式・性質を確認する	問題の式を見て、それぞれの数の符号を確認する	6	m-jh1-A-01-10b.txt:84, m-jh1-A-01-10b.txt:130, m-jh1-A-01-10b.txt:176, m-jh1-A-01-10b.txt:222, m-jh1-A-01-10b.txt:268
01 考え方・公式・性質を確認する	外角の性質を使う	2	m-jh2-C-01-02b.txt:165, m-jh2-C-01-02b.txt:214
01 考え方・公式・性質を確認する	定理にあてはめる	2	m-jh3-C-01-11b.txt:114, m-jh3-C-01-11b.txt:207
01 考え方・公式・性質を確認する	対称の中心の性質を使う	1	m-jh1-C-01-07b.txt:188
01 考え方・公式・性質を確認する	展開の公式を使ってかっこをはずす	1	m-jh3-A-01-10s.txt:78
01 考え方・公式・性質を確認する	平方の形を確認する	5	m-jh3-A-02-03s.txt:75, m-jh3-A-02-03s.txt:127, m-jh3-A-02-04b.txt:75, m-jh3-A-02-04b.txt:111, m-jh3-A-02-06s.txt:70
01 考え方・公式・性質を確認する	平方完成で使う形を確認する	2	m-jh3-A-05-05b.txt:76, m-jh3-A-05-05s.txt:80
01 考え方・公式・性質を確認する	平方根の商の公式を使う	1	m-jh3-A-04-07s.txt:123
01 考え方・公式・性質を確認する	平方根の商の公式を確認する	3	m-jh3-A-04-07b.txt:112, m-jh3-A-04-07b.txt:150, m-jh3-A-04-10s.txt:177
01 考え方・公式・性質を確認する	平方根の大小の考え方を確認する	3	m-jh3-A-04-05s.txt:74, m-jh3-A-04-05s.txt:131, m-jh3-A-04-16s.txt:70
01 考え方・公式・性質を確認する	平方根の意味を確認する	2	m-jh3-A-04-01b.txt:73, m-jh3-A-04-03b.txt:74
01 考え方・公式・性質を確認する	平方根の積の公式を確認する	3	m-jh3-A-04-07b.txt:71, m-jh3-A-04-07s.txt:71, m-jh3-A-04-10s.txt:131
01 考え方・公式・性質を確認する	底面の形を確認する	2	m-jh1-C-02-11b.txt:131, m-jh1-C-02-12b.txt:131
01 考え方・公式・性質を確認する	式の形から使う公式を確認する	3	m-jh3-A-01-09s.txt:69, m-jh3-A-01-09s.txt:113, m-jh3-A-03-01s.txt:171
01 考え方・公式・性質を確認する	式の意味を確認する	1	m-jh1-A-02-04b.txt:316
01 考え方・公式・性質を確認する	式の見方を確認する	27	m-jh1-A-01-05s.txt:74, m-jh1-A-01-05s.txt:98, m-jh1-A-01-05s.txt:122, m-jh1-A-01-06s.txt:74, m-jh1-A-01-06s.txt:98
01 考え方・公式・性質を確認する	折り目の性質を考える	1	m-jh1-C-01-13b.txt:217
01 考え方・公式・性質を確認する	有理数でないものの考え方を確認する	1	m-jh3-A-04-06b.txt:91
01 考え方・公式・性質を確認する	正三角形の角の性質を使う	1	m-jh2-C-02-04b.txt:89
01 考え方・公式・性質を確認する	比べる三角形を確認する	4	m-jh3-C-01-04s.txt:124, m-jh3-C-01-04s.txt:203, m-jh3-C-01-04s.txt:278, m-jh3-C-01-05b.txt:127
01 考え方・公式・性質を確認する	比例式の性質を使って、外側の積と内側の積を等しくする	2	m-jh1-A-03-08s.txt:73, m-jh1-A-03-08s.txt:124
01 考え方・公式・性質を確認する	水平な区間の意味を考える	1	m-jh2-B-01-19b.txt:185
01 考え方・公式・性質を確認する	減法の考え方を確認する	4	m-jh1-A-01-07b.txt:67, m-jh1-A-01-07b.txt:110, m-jh1-A-01-07b.txt:151, m-jh1-A-01-07b.txt:193
01 考え方・公式・性質を確認する	点 $M$ の意味を確認する	1	m-jh3-C-02-05b.txt:260
01 考え方・公式・性質を確認する	直角三角形を確認する	1	m-jh3-C-03-07b.txt:246
01 考え方・公式・性質を確認する	矢印の意味を考える	1	m-jh1-C-01-01b.txt:73
01 考え方・公式・性質を確認する	積が0になる条件を確認する	2	m-jh3-A-05-02b.txt:70, m-jh3-A-05-02s.txt:70
01 考え方・公式・性質を確認する	符号のルールを思い出そう	4	m-jh1-A-01-01b.txt:181, m-jh1-A-01-01b.txt:212, m-jh1-A-01-01b.txt:243, m-jh1-A-01-01b.txt:274
01 考え方・公式・性質を確認する	符号の意味を確認する	3	m-jh1-A-01-01b.txt:85, m-jh1-A-01-01b.txt:117, m-jh1-A-01-01b.txt:149
01 考え方・公式・性質を確認する	符号の関係を確認する	4	m-jh1-A-01-12b.txt:80, m-jh1-A-01-12b.txt:118, m-jh1-A-01-12b.txt:158, m-jh1-A-01-12b.txt:196
01 考え方・公式・性質を確認する	符号を確認しよう	1	m-jh1-A-01-03b.txt:168
01 考え方・公式・性質を確認する	符号を確認する	2	m-jh1-A-01-14s.txt:80, m-jh1-A-01-14s.txt:119
01 考え方・公式・性質を確認する	等式の見方を確認する	1	m-jh1-A-02-10s.txt:68
01 考え方・公式・性質を確認する	絶対値が $1.7$ になる数の意味を確認する	1	m-jh1-A-01-04b.txt:210
01 考え方・公式・性質を確認する	絶対値が $8$ になる数の意味を確認する	1	m-jh1-A-01-04b.txt:171
01 考え方・公式・性質を確認する	絶対値が $\frac{5}{4}$ になる数の意味を確認する	1	m-jh1-A-01-04b.txt:249
01 考え方・公式・性質を確認する	絶対値の意味を確認する	3	m-jh1-A-01-04b.txt:68, m-jh1-A-01-04b.txt:103, m-jh1-A-01-04b.txt:136
01 考え方・公式・性質を確認する	線分の意味を確認する	1	m-jh1-C-01-01b.txt:95
01 考え方・公式・性質を確認する	自然数になる条件を確認する	2	m-jh3-A-04-17s.txt:77, m-jh3-A-04-17s.txt:130
01 考え方・公式・性質を確認する	表の意味を確認する	1	m-jh1-A-01-19b.txt:117
01 考え方・公式・性質を確認する	解の公式で解く	1	m-jh3-A-05-11s.txt:182
01 考え方・公式・性質を確認する	解の公式に代入し、根号の中の数を計算する	2	m-jh3-A-05-06s.txt:94, m-jh3-A-05-06s.txt:144
01 考え方・公式・性質を確認する	解の公式に代入する	2	m-jh3-A-05-06b.txt:128, m-jh3-A-05-07s.txt:180
01 考え方・公式・性質を確認する	解の公式を使う準備をする	1	m-jh3-A-05-07s.txt:164
01 考え方・公式・性質を確認する	解の公式を確認する	3	m-jh3-A-05-06b.txt:73, m-jh3-A-05-06s.txt:73, m-jh3-A-05-06s.txt:123
01 考え方・公式・性質を確認する	解の意味を使う	1	m-jh3-A-05-08s.txt:141
01 考え方・公式・性質を確認する	解の意味を確認する	3	m-jh3-A-05-01b.txt:143, m-jh3-A-05-04b.txt:119, m-jh3-A-05-08s.txt:70
01 考え方・公式・性質を確認する	速さ・時間・道のりの関係を確認する	1	m-jh1-B-02-02b.txt:104
01 考え方・公式・性質を確認する	重なった部分の形を確認する	1	m-jh3-B-01-09b.txt:174
01 考え方・公式・性質を確認する	長方形の周の長さの公式を使う	1	m-jh1-B-01-01b.txt:67

## 02 文字設定・数量関係を整理する
02 文字設定・数量関係を整理する	2つのまとまりをたす	1	m-jh1-A-01-08b.txt:279
02 文字設定・数量関係を整理する	ある数を文字で表す	1	m-jh1-A-03-13b.txt:67
02 文字設定・数量関係を整理する	それぞれのまとまりを項として取り出す	1	m-jh2-A-01-01b.txt:106
02 文字設定・数量関係を整理する	たし算でつながったまとまりを確認する	3	m-jh1-A-02-05b.txt:73, m-jh1-A-02-05b.txt:122, m-jh1-A-02-05s.txt:73
02 文字設定・数量関係を整理する	たし算でつながっているまとまりを項とする	1	m-jh2-A-01-01b.txt:78
02 文字設定・数量関係を整理する	ペンの値段を文字で表す	1	m-jh1-A-03-10b.txt:108
02 文字設定・数量関係を整理する	交換法則・結合法則を使って約分しやすいまとまりを作る	2	m-jh1-A-01-10b.txt:275, m-jh1-A-01-10b.txt:321
02 文字設定・数量関係を整理する	人数を文字で表す	2	m-jh1-A-03-11b.txt:66, m-jh1-A-03-11b.txt:109
02 文字設定・数量関係を整理する	何を文字で表しているか確認する	9	m-jh1-A-02-01b.txt:66, m-jh1-A-02-01b.txt:100, m-jh1-A-02-01b.txt:136, m-jh1-A-02-01b.txt:171, m-jh1-A-02-01b.txt:213
02 文字設定・数量関係を整理する	何を文字に置くかを決める	7	m-jh1-A-03-10s.txt:68, m-jh1-A-03-10s.txt:130, m-jh1-A-03-11s.txt:68, m-jh1-A-03-11s.txt:135, m-jh1-A-03-12s.txt:68
02 文字設定・数量関係を整理する	全体の量を文字で表す	1	m-jh1-A-03-13b.txt:131
02 文字設定・数量関係を整理する	共通するまとまりを置き換える	3	m-jh3-A-01-10b.txt:68, m-jh3-A-02-06b.txt:70, m-jh3-A-02-06b.txt:105
02 文字設定・数量関係を整理する	加法の結合法則で、それぞれのまとまりを計算する	2	m-jh1-A-01-06b.txt:172, m-jh1-A-01-06b.txt:215
02 文字設定・数量関係を整理する	右のかっこをひとまとまりと見て分配する	1	m-jh3-A-01-03s.txt:69
02 文字設定・数量関係を整理する	右辺にする数量を考える	2	m-jh1-A-02-10s.txt:77, m-jh1-A-02-10s.txt:132
02 文字設定・数量関係を整理する	定価を文字で表す	1	m-jh1-A-03-13b.txt:99
02 文字設定・数量関係を整理する	左辺にする数量を考える	6	m-jh1-A-02-10s.txt:71, m-jh1-A-02-10s.txt:126, m-jh1-A-02-11s.txt:84, m-jh1-A-02-11s.txt:111, m-jh1-A-02-11s.txt:138
02 文字設定・数量関係を整理する	底辺の長さを文字で表す	1	m-jh3-C-01-11b.txt:199
02 文字設定・数量関係を整理する	数量の関係を式にする	8	m-jh1-A-02-01b.txt:76, m-jh1-A-02-01b.txt:111, m-jh1-A-02-01b.txt:146, m-jh1-A-02-01b.txt:181, m-jh1-A-02-01b.txt:227
02 文字設定・数量関係を整理する	数量を式に入れる	1	m-jh1-B-01-06b.txt:82
02 文字設定・数量関係を整理する	数量を式にする	1	m-jh1-B-01-06b.txt:121
02 文字設定・数量関係を整理する	文字を決める	5	m-jh2-A-03-12s.txt:157, m-jh2-A-03-14b.txt:119, m-jh2-A-03-14s.txt:165, m-jh2-A-03-15b.txt:130, m-jh2-A-03-15s.txt:153
02 文字設定・数量関係を整理する	日本語を短い数量のまとまりに整理する	13	m-jh1-A-02-01b.txt:69, m-jh1-A-02-01b.txt:103, m-jh1-A-02-01b.txt:139, m-jh1-A-02-01b.txt:174, m-jh1-A-02-01b.txt:216
02 文字設定・数量関係を整理する	時間を文字で表す	2	m-jh1-A-03-12b.txt:66, m-jh1-A-03-12b.txt:108
02 文字設定・数量関係を整理する	求める数量を文字で表す	1	m-jh3-A-01-01b.txt:63
02 文字設定・数量関係を整理する	等しくなる数量を確認する	1	m-jh1-A-02-10s.txt:155
02 文字設定・数量関係を整理する	結合法則を使って計算しやすいまとまりを作る	1	m-jh1-A-01-10b.txt:229
02 文字設定・数量関係を整理する	置き換えるまとまりを探す	1	m-jh3-A-01-10s.txt:111
02 文字設定・数量関係を整理する	置き換えるまとまりを決める	1	m-jh3-A-01-10b.txt:117

## 03 表・図・数直線・グラフを読み取る／作る
03 表・図・数直線・グラフを読み取る／作る	$20\%$ を数値で表すと	1	m-jh1-A-02-03s.txt:254
03 表・図・数直線・グラフを読み取る／作る	$7\%$ を数値で表すと	1	m-jh1-A-02-03s.txt:217
03 表・図・数直線・グラフを読み取る／作る	$800$ 円使う → マイナスをつけて表す	1	m-jh1-A-01-02b.txt:174
03 表・図・数直線・グラフを読み取る／作る	$\angle A$ の二等分線を作図する	1	m-jh1-C-01-12b.txt:356
03 表・図・数直線・グラフを読み取る／作る	$\angle ABC$ の二等分線を作図する	2	m-jh1-C-01-12b.txt:283, m-jh1-C-01-13b.txt:152
03 表・図・数直線・グラフを読み取る／作る	$a$ が表のどこにあるかを確認する	1	m-jh3-A-05-01b.txt:115
03 表・図・数直線・グラフを読み取る／作る	$t$ 秒後の長さを表す	2	m-jh3-A-05-11b.txt:133, m-jh3-A-05-11b.txt:238
03 表・図・数直線・グラフを読み取る／作る	$x = -2, -1, 0, 1, 2$ を代入したとき、左辺の式 $x - 6$ と右辺の式 $5x - 10$ に、与えられた $x$ の値を順番に代入して表を作る	1	m-jh1-A-03-01b.txt:90
03 表・図・数直線・グラフを読み取る／作る	$x$ の値を選んで表を作る	2	m-jh1-B-02-05b.txt:125, m-jh1-B-02-05b.txt:188
03 表・図・数直線・グラフを読み取る／作る	$x$ 座標を考える	1	m-jh1-B-01-09b.txt:146
03 表・図・数直線・グラフを読み取る／作る	$x$ 座標を見る	2	m-jh1-B-01-10b.txt:94, m-jh1-B-01-10b.txt:142
03 表・図・数直線・グラフを読み取る／作る	$x^2$ の値を表に入れる	1	m-jh3-B-01-01b.txt:121
03 表・図・数直線・グラフを読み取る／作る	$y$ の値を求めて表を完成させる	1	m-jh2-B-01-01b.txt:146
03 表・図・数直線・グラフを読み取る／作る	$y$ を $x$ で表す	1	m-jh1-B-01-01b.txt:74
03 表・図・数直線・グラフを読み取る／作る	$y$ を $x$ の式で表す	6	m-jh1-B-02-01b.txt:113, m-jh1-B-02-01b.txt:153, m-jh1-B-02-01b.txt:204, m-jh1-B-02-01b.txt:260, m-jh3-B-01-08b.txt:157
03 表・図・数直線・グラフを読み取る／作る	$y$ 座標を考える	1	m-jh1-B-01-09b.txt:153
03 表・図・数直線・グラフを読み取る／作る	$y$ 座標を見る	2	m-jh1-B-01-10b.txt:99, m-jh1-B-01-10b.txt:147
03 表・図・数直線・グラフを読み取る／作る	(1) $y=2x-1$ のグラフ	1	m-jh2-B-01-09b.txt:104
03 表・図・数直線・グラフを読み取る／作る	(2) $y=-x+2$ のグラフ	1	m-jh2-B-01-09b.txt:123
03 表・図・数直線・グラフを読み取る／作る	(3) $y=-\frac{2}{3}x+1$ のグラフ	1	m-jh2-B-01-09b.txt:142
03 表・図・数直線・グラフを読み取る／作る	(4) $y=\frac{1}{2}x-2$ のグラフ	1	m-jh2-B-01-09b.txt:163
03 表・図・数直線・グラフを読み取る／作る	2つのグラフをかく	1	m-jh2-B-01-14b.txt:182
03 表・図・数直線・グラフを読み取る／作る	2人の道のりを表す	1	m-jh1-A-03-12b.txt:111
03 表・図・数直線・グラフを読み取る／作る	2本の垂直二等分線を作図する	1	m-jh1-C-01-13b.txt:292
03 表・図・数直線・グラフを読み取る／作る	2通りで表したみかんの個数を等式にする	1	m-jh1-A-03-11s.txt:161
03 表・図・数直線・グラフを読み取る／作る	2通りで表したりんごの個数を等式にする	1	m-jh1-A-03-11s.txt:94
03 表・図・数直線・グラフを読み取る／作る	3は整数の2乗では表せない	1	m-jh3-A-04-02b.txt:83
03 表・図・数直線・グラフを読み取る／作る	4割を数値で表すと	1	m-jh1-A-02-03s.txt:236
03 表・図・数直線・グラフを読み取る／作る	5年後の年齢をそれぞれ表す	1	m-jh1-A-02-01s.txt:148
03 表・図・数直線・グラフを読み取る／作る	Aさんの表の値を読む	1	m-jh1-A-01-19b.txt:73
03 表・図・数直線・グラフを読み取る／作る	x座標の差とy座標の差を求める	3	m-jh3-C-03-08b.txt:123, m-jh3-C-03-08b.txt:169, m-jh3-C-03-08b.txt:206
03 表・図・数直線・グラフを読み取る／作る	②から $y$ を $x$ で表す	1	m-jh2-A-03-09s.txt:201
03 表・図・数直線・グラフを読み取る／作る	「$2$回かける」を指数「$\bbox[2px,plum]{2}$」で表す	1	m-jh1-A-01-11b.txt:79
03 表・図・数直線・グラフを読み取る／作る	「$3$回かける」を指数「$\bbox[2px,plum]{3}$」で表す	1	m-jh1-A-01-11b.txt:108
03 表・図・数直線・グラフを読み取る／作る	「$3$回かける」を指数「$\bbox[2px,plum]{3}$」で表現	1	m-jh1-A-01-11b.txt:136
03 表・図・数直線・グラフを読み取る／作る	「もとの数」と「数字を入れかえた数」を式で表す	1	m-jh2-A-03-12s.txt:75
03 表・図・数直線・グラフを読み取る／作る	あめの個数を2通りで表す	1	m-jh1-A-03-11b.txt:69
03 表・図・数直線・グラフを読み取る／作る	お金が入ってくるのを「＋」と表している	1	m-jh1-A-01-02b.txt:171
03 表・図・数直線・グラフを読み取る／作る	すべての辺を2倍にしたときの体積を文字式を使って表す	1	m-jh2-A-02-02s.txt:74
03 表・図・数直線・グラフを読み取る／作る	それぞれの道のりを表す	1	m-jh1-A-03-12b.txt:69
03 表・図・数直線・グラフを読み取る／作る	まず $y$ を $x$ の式で表す	1	m-jh3-B-01-02b.txt:161
03 表・図・数直線・グラフを読み取る／作る	みかん $3$ 個の代金を表す	1	m-jh1-A-03-10b.txt:66
03 表・図・数直線・グラフを読み取る／作る	もとの立方体の体積を文字式で表す	1	m-jh2-A-02-02s.txt:67
03 表・図・数直線・グラフを読み取る／作る	イの角を表す	1	m-jh1-C-01-02b.txt:240
03 表・図・数直線・グラフを読み取る／作る	カードの枚数を2通りで表す	1	m-jh1-A-03-11b.txt:112
03 表・図・数直線・グラフを読み取る／作る	グラフ①の式を求める	2	m-jh1-B-01-17b.txt:193, m-jh1-B-02-07b.txt:138
03 表・図・数直線・グラフを読み取る／作る	グラフ②の式を求める	2	m-jh1-B-01-17b.txt:214, m-jh1-B-02-07b.txt:155
03 表・図・数直線・グラフを読み取る／作る	グラフ③の式を求める	1	m-jh1-B-02-07b.txt:172
03 表・図・数直線・グラフを読み取る／作る	グラフをかく	2	m-jh3-B-01-03b.txt:154, m-jh3-B-01-04b.txt:159
03 表・図・数直線・グラフを読み取る／作る	グラフを描く	1	m-jh3-B-01-09b.txt:201
03 表・図・数直線・グラフを読み取る／作る	グラフ上の読み取りやすい点を選ぶ	1	m-jh1-B-01-17b.txt:117
03 表・図・数直線・グラフを読み取る／作る	ミルクとコーヒーの量を表す	1	m-jh1-A-03-13s.txt:68
03 表・図・数直線・グラフを読み取る／作る	三角形の面積を式で表す	2	m-jh3-A-05-11b.txt:141, m-jh3-A-05-11b.txt:245
03 表・図・数直線・グラフを読み取る／作る	不等号で表す	3	m-jh1-A-01-03b.txt:87, m-jh1-A-01-03b.txt:129, m-jh1-A-01-03b.txt:173
03 表・図・数直線・グラフを読み取る／作る	交点の座標を読む	1	m-jh2-B-01-14b.txt:185
03 表・図・数直線・グラフを読み取る／作る	交点をとる	2	m-jh1-C-01-13b.txt:158, m-jh1-C-01-13b.txt:298
03 表・図・数直線・グラフを読み取る／作る	作図の理由を説明する	2	m-jh3-C-02-05b.txt:150, m-jh3-C-02-05b.txt:213
03 表・図・数直線・グラフを読み取る／作る	使った素数を指数で表す	1	m-jh1-A-01-20s.txt:84
03 表・図・数直線・グラフを読み取る／作る	使った素数を指数で表すと、	2	m-jh1-A-01-20b.txt:129, m-jh1-A-01-20b.txt:155
03 表・図・数直線・グラフを読み取る／作る	係数の $1$ を省略し、同じ文字を累乗で表す	1	m-jh1-A-02-02s.txt:94
03 表・図・数直線・グラフを読み取る／作る	候補の値を表にして確認する	1	m-jh3-A-05-01b.txt:147
03 表・図・数直線・グラフを読み取る／作る	偶数と奇数の和を文字式で表す	1	m-jh2-A-02-01s.txt:71
03 表・図・数直線・グラフを読み取る／作る	偶数と奇数を文字式で表す	1	m-jh2-A-02-01s.txt:68
03 表・図・数直線・グラフを読み取る／作る	偶数を文字式で表す	1	m-jh2-A-02-01b.txt:63
03 表・図・数直線・グラフを読み取る／作る	傾きからもう1点をとる	3	m-jh2-B-01-04b.txt:126, m-jh2-B-01-04b.txt:171, m-jh2-B-01-04b.txt:220
