ファイル名,問題番号,IRT困難度_300尺度,IRT困難度_theta換算,識別力_300尺度,識別力_theta換算,推定誤差_300尺度,推定誤差_theta換算,識別力の推定誤差_300尺度,識別力の推定誤差_theta換算
m-jh1-A-01-05s.txt,問題3,29.4,0.588,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-06b.txt,問題1,8.0,0.160,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-06b.txt,問題2,11.0,0.220,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-06b.txt,問題3,14.0,0.280,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-06b.txt,問題4,17.0,0.340,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-06s.txt,問題1,24.5,0.490,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-06s.txt,問題2,27.5,0.550,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-06s.txt,問題3,30.5,0.610,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-07b.txt,問題1,9.1,0.182,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-07b.txt,問題2,12.1,0.242,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-07b.txt,問題3,15.1,0.302,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-07b.txt,問題4,18.1,0.362,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-07s.txt,問題1,25.7,0.514,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-07s.txt,問題2,28.7,0.574,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-07s.txt,問題3,31.7,0.634,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-08b.txt,問題1,10.2,0.204,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題2,13.2,0.264,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題3,16.2,0.324,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題4,19.2,0.384,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題5,22.2,0.444,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題6,25.2,0.504,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題7,28.2,0.564,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-08b.txt,問題8,31.2,0.624,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-08s.txt,問題1,26.8,0.536,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-08s.txt,問題2,29.8,0.596,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-08s.txt,問題3,32.8,0.656,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-09b.txt,問題1,11.3,0.226,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題2,14.3,0.286,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題3,17.3,0.346,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題4,20.3,0.406,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題5,23.3,0.466,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題6,26.3,0.526,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-09b.txt,問題7,29.3,0.586,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-09s.txt,問題1,27.9,0.558,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-09s.txt,問題2,30.9,0.618,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-09s.txt,問題3,33.9,0.678,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-10b.txt,問題1,12.5,0.250,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-10b.txt,問題2,15.5,0.310,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-10b.txt,問題3,18.5,0.370,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-10b.txt,問題4,21.5,0.430,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-10b.txt,問題5,24.5,0.490,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-10b.txt,問題6,27.5,0.550,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-10s.txt,問題1,29.0,0.580,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-10s.txt,問題2,32.0,0.640,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-10s.txt,問題3,35.0,0.700,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-11b.txt,問題1,13.6,0.272,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-11b.txt,問題2,16.6,0.332,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-11b.txt,問題3,19.6,0.392,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-11b.txt,問題4,22.6,0.452,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-11b.txt,問題5,25.6,0.512,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-11b.txt,問題6,28.6,0.572,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-11s.txt,問題1,30.2,0.604,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-11s.txt,問題2,33.2,0.664,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-11s.txt,問題3,36.2,0.724,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-12b.txt,問題1,14.7,0.294,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-12b.txt,問題2,17.7,0.354,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-12b.txt,問題3,20.7,0.414,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-12b.txt,問題4,23.7,0.474,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-12s.txt,問題1,31.3,0.626,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-12s.txt,問題2,34.3,0.686,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-12s.txt,問題3,37.3,0.746,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-13b.txt,問題1,15.9,0.318,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-13b.txt,問題2,18.9,0.378,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-13b.txt,問題3,21.9,0.438,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-13s.txt,問題1,32.4,0.648,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-13s.txt,問題2,35.4,0.708,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-13s.txt,問題3,38.4,0.768,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-14b.txt,問題1,17.0,0.340,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-14b.txt,問題2,20.0,0.400,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-14s.txt,問題1,33.6,0.672,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-14s.txt,問題2,36.6,0.732,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-15b.txt,問題1,18.1,0.362,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-15b.txt,問題2,21.1,0.422,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-15b.txt,問題3,24.1,0.482,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-15b.txt,問題4,27.1,0.542,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-15s.txt,問題1,34.7,0.694,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-15s.txt,問題2,37.7,0.754,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-15s.txt,問題3,40.7,0.814,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-15s.txt,問題4,43.7,0.874,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-16b.txt,問題1,19.3,0.386,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-16b.txt,問題2,22.3,0.446,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-16b.txt,問題3,25.3,0.506,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-16b.txt,問題4,28.3,0.566,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-16s.txt,問題1,35.8,0.716,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-16s.txt,問題2,38.8,0.776,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-16s.txt,問題3,41.8,0.836,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-16s.txt,問題4,44.8,0.896,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-16s.txt,問題5,47.8,0.956,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-17b.txt,問題1,20.4,0.408,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-17b.txt,問題2,23.4,0.468,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-17b.txt,問題3,26.4,0.528,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-17b.txt,問題4,29.4,0.588,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-17s.txt,問題1,37.0,0.740,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-17s.txt,問題2,40.0,0.800,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-17s.txt,問題3,43.0,0.860,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-17s.txt,問題4,46.0,0.920,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-17s.txt,問題5,49.0,0.980,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-17s.txt,問題6,52.0,1.040,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-01-18b.txt,問題1,21.5,0.430,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題2,24.5,0.490,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題3,27.5,0.550,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題4,30.5,0.610,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題5,33.5,0.670,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題6,36.5,0.730,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題7,39.5,0.790,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-18b.txt,問題8,42.5,0.850,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-19b.txt,問題1,22.1,0.442,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-19b.txt,問題2,25.1,0.502,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-19b.txt,問題3,28.1,0.562,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-19s.txt,問題1,38.7,0.774,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-19s.txt,問題2,41.7,0.834,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-19s.txt,問題3,44.7,0.894,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-20b.txt,問題1,23.2,0.464,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-20b.txt,問題2,26.2,0.524,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-20b.txt,問題3,29.2,0.584,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-20b.txt,問題4,32.2,0.644,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-20b.txt,問題5,35.2,0.704,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-01-20s.txt,問題1,39.8,0.796,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-20s.txt,問題2,42.8,0.856,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-20s.txt,問題3,45.8,0.916,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-01-21b.txt,問題1,24.3,0.486,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-01-21b.txt,問題2,27.3,0.546,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-01-21b.txt,問題3,30.3,0.606,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-01-21s.txt,問題1,40.9,0.818,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-01-21s.txt,問題2,43.9,0.878,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-01-21s.txt,問題3,46.9,0.938,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-02-01b.txt,問題1,25.5,0.510,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-01b.txt,問題2,28.5,0.570,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-01b.txt,問題3,31.5,0.630,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-01b.txt,問題4,34.5,0.690,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-01b.txt,問題5,37.5,0.750,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-01b.txt,問題6,40.5,0.810,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-01s.txt,問題1,42.0,0.840,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-01s.txt,問題2,45.0,0.900,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-01s.txt,問題3,48.0,0.960,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-02-02b.txt,問題1,26.6,0.532,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題2,29.6,0.592,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題3,32.6,0.652,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題4,35.6,0.712,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題5,38.6,0.772,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題6,41.6,0.832,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題7,44.6,0.892,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題8,47.6,0.952,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題9,50.6,1.012,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題10,53.6,1.072,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題11,56.6,1.132,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題12,59.6,1.192,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02b.txt,問題13,62.6,1.252,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-02s.txt,問題1,43.2,0.864,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-02s.txt,問題2,46.2,0.924,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-02s.txt,問題3,49.2,0.984,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-02-03b.txt,問題1,27.7,0.554,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-03b.txt,問題2,30.7,0.614,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-03b.txt,問題3,33.7,0.674,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-03b.txt,問題4,36.7,0.734,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-03b.txt,問題5,39.7,0.794,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-03s.txt,問題1,44.3,0.886,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題2,47.3,0.946,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題3,50.3,1.006,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題4,53.3,1.066,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題5,56.3,1.126,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題6,59.3,1.186,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題7,62.3,1.246,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題8,65.3,1.306,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題9,68.3,1.366,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題10,71.3,1.426,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題11,74.3,1.486,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-03s.txt,問題12,77.3,1.546,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-04b.txt,問題1,28.9,0.578,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題2,31.9,0.638,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題3,34.9,0.698,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題4,37.9,0.758,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題5,40.9,0.818,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題6,43.9,0.878,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題7,46.9,0.938,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題8,49.9,0.998,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題9,52.9,1.058,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題10,55.9,1.118,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題11,58.9,1.178,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題12,61.9,1.238,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04b.txt,問題13,64.9,1.298,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-04s.txt,問題1,45.4,0.908,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-04s.txt,問題2,48.4,0.968,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-05b.txt,問題1,30.0,0.600,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-05b.txt,問題2,33.0,0.660,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-05b.txt,問題3,36.0,0.720,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-05b.txt,問題4,39.0,0.780,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-05b.txt,問題5,42.0,0.840,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-05s.txt,問題1,46.6,0.932,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-05s.txt,問題2,49.6,0.992,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-06b.txt,問題1,31.1,0.622,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題2,34.1,0.682,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題3,37.1,0.742,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題4,40.1,0.802,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題5,43.1,0.862,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題6,46.1,0.922,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-06b.txt,問題7,49.1,0.982,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-06s.txt,問題1,47.7,0.954,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-06s.txt,問題2,50.7,1.014,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-07b.txt,問題1,32.3,0.646,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-07b.txt,問題2,35.3,0.706,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-07b.txt,問題3,38.3,0.766,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-07b.txt,問題4,41.3,0.826,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-07b.txt,問題5,44.3,0.886,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-07b.txt,問題6,47.3,0.946,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-07s.txt,問題1,48.8,0.976,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-07s.txt,問題2,51.8,1.036,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-08b.txt,問題1,33.4,0.668,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-08b.txt,問題2,36.4,0.728,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-08b.txt,問題3,39.4,0.788,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-08b.txt,問題4,42.4,0.848,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-08s.txt,問題1,50.0,1.000,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-08s.txt,問題2,53.0,1.060,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-09b.txt,問題1,34.5,0.690,0.0140,0.700,18.0,0.360,0.0038,0.190
m-jh1-A-02-09b.txt,問題2,37.5,0.750,0.0144,0.720,18.0,0.360,0.0038,0.190
m-jh1-A-02-09b.txt,問題3,40.5,0.810,0.0148,0.740,18.0,0.360,0.0038,0.190
m-jh1-A-02-09b.txt,問題4,43.5,0.870,0.0152,0.760,18.0,0.360,0.0038,0.190
m-jh1-A-02-09s.txt,問題1,51.1,1.022,0.0158,0.790,20.0,0.400,0.0042,0.210
m-jh1-A-02-09s.txt,問題2,54.1,1.082,0.0162,0.810,20.0,0.400,0.0042,0.210
m-jh1-A-02-09s.txt,問題3,57.1,1.142,0.0166,0.830,20.0,0.400,0.0042,0.210
m-jh1-A-02-09s.txt,問題4,60.1,1.202,0.0170,0.850,20.0,0.400,0.0042,0.210
m-jh1-A-02-10b.txt,問題1,35.7,0.714,0.0140,0.700,18.0,0.360,0.0038,0.190
